alpha,image_id,reference_path,test_path,height,width,channels,psnr_db,ssim,status
0.7,IMG20260108150419,c:\CSUAP\data\test\IMG20260108150419.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.70\img9.png,2592,1944,3,31.792982115969416,0.9634585380554199,ok
0.7,IMG20260412080840,c:\CSUAP\data\test\IMG20260412080840.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.70\img10.png,2592,1944,3,31.823399361787942,0.9736302495002747,ok
0.7,IMG20260526135526,c:\CSUAP\data\test\IMG20260526135526.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.70\img11.png,2592,1944,3,31.77744169575788,0.9352098107337952,ok
0.7,IMG20260901061925,c:\CSUAP\data\test\IMG20260901061925.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.70\img12.png,2592,1944,3,31.87394542312632,0.9639444947242737,ok
0.7,IMG20260901061929,c:\CSUAP\data\test\IMG20260901061929.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.70\img13.png,2592,1944,3,31.82230291389917,0.9309530258178711,ok
0.7,IMG20260901061958,c:\CSUAP\data\test\IMG20260901061958.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.70\img14.png,2592,1944,3,31.80126810474433,0.9323434829711914,ok
0.7,IMG20260901064646,c:\CSUAP\data\test\IMG20260901064646.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.70\img15.png,2592,1944,3,31.852644148037285,0.9657542705535889,ok
0.7,IMG20260901064701,c:\CSUAP\data\test\IMG20260901064701.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.70\img16.png,2592,1944,3,31.88915823178629,0.97031569480896,ok
0.7,IMG20260901064905,c:\CSUAP\data\test\IMG20260901064905.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.70\img17.png,2592,1944,3,31.7990904926858,0.9702298045158386,ok
0.7,IMG20260902163750,c:\CSUAP\data\test\IMG20260902163750.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.70\img18.png,2592,1944,3,31.857585732508326,0.9277088046073914,ok
0.7,IMG20260902163758,c:\CSUAP\data\test\IMG20260902163758.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.70\img19.png,2592,1944,3,31.799681596961026,0.9377514719963074,ok
0.7,IMG20260906165207,c:\CSUAP\data\test\IMG20260906165207.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.70\img20.png,2592,1944,3,31.804399464103007,0.946171224117279,ok
0.7,IMG20260906165208,c:\CSUAP\data\test\IMG20260906165208.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.70\img21.png,2592,1944,3,31.804875177547455,0.946083128452301,ok
0.7,IMG20260906165213,c:\CSUAP\data\test\IMG20260906165213.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.70\img22.png,2592,1944,3,31.7871376823912,0.9506545066833496,ok
0.7,IMG20260906165218,c:\CSUAP\data\test\IMG20260906165218.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.70\img23.png,2592,1944,3,31.80674949241365,0.954997718334198,ok
0.7,IMG20260906165223,c:\CSUAP\data\test\IMG20260906165223.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.70\img24.png,2592,1944,3,31.782027607498264,0.9587224125862122,ok
0.7,IMG20260906165228,c:\CSUAP\data\test\IMG20260906165228.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.70\img25.png,2592,1944,3,31.78904219214661,0.944451093673706,ok
0.7,IMG20260906165230,c:\CSUAP\data\test\IMG20260906165230.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.70\img26.png,2592,1944,3,31.791966754057377,0.9417818188667297,ok
0.7,IMG20260906165231,c:\CSUAP\data\test\IMG20260906165231.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.70\img27.png,2592,1944,3,31.79272772510143,0.9416351318359375,ok
0.7,IMG20260906165235,c:\CSUAP\data\test\IMG20260906165235.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.70\img28.png,2592,1944,3,31.789619411630294,0.9449564814567566,ok
0.7,IMG20260906165242,c:\CSUAP\data\test\IMG20260906165242.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.70\img29.png,2592,1944,3,31.78459256961618,0.9462675452232361,ok
0.7,received_2081552955994974,c:\CSUAP\data\test\received_2081552955994974.jpeg,c:\CSUAP\outputs\cloaked\test\alpha_0.70\img30.png,1560,1170,3,31.797652184725735,0.9008710980415344,ok
0.8,4610,c:\CSUAP\data\test\4610.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.80\img1.png,4096,3072,3,30.837272864471682,0.974278450012207,ok
0.8,4761,c:\CSUAP\data\test\4761.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.80\img2.png,4032,2688,3,30.7377594813568,0.9471057057380676,ok
0.8,5e03b897-22d4-4a14-a22e-ddcd38187020,c:\CSUAP\data\test\5e03b897-22d4-4a14-a22e-ddcd38187020.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.80\img3.png,729,581,3,30.770988874019896,0.8223092555999756,ok
0.8,9b03a6af-302f-4350-8f3d-f68c820cbb7f,c:\CSUAP\data\test\9b03a6af-302f-4350-8f3d-f68c820cbb7f.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.80\img4.png,1312,982,3,30.802908991231966,0.8844823241233826,ok
0.8,a7f65312-8df7-4bec-ba76-4adba2196a07-1_all_2610,c:\CSUAP\data\test\a7f65312-8df7-4bec-ba76-4adba2196a07-1_all_2610.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.80\img5.png,3280,2464,3,30.865363765784398,0.9684537053108215,ok
0.8,a7f65312-8df7-4bec-ba76-4adba2196a07-1_all_7407,c:\CSUAP\data\test\a7f65312-8df7-4bec-ba76-4adba2196a07-1_all_7407.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.80\img6.png,3280,2464,3,30.960719999662448,0.9485906958580017,ok
0.8,d23ff9e4-b149-48a8-aed2-f922a0508488,c:\CSUAP\data\test\d23ff9e4-b149-48a8-aed2-f922a0508488.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.80\img7.png,858,619,3,30.89404097008423,0.8210638165473938,ok
0.8,IMG20250822231100,c:\CSUAP\data\test\IMG20250822231100.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.80\img8.png,2592,1944,3,31.170848122567556,0.9503993391990662,ok
0.8,IMG20260108150419,c:\CSUAP\data\test\IMG20260108150419.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.80\img9.png,2592,1944,3,30.741373232866074,0.9542199969291687,ok
0.8,IMG20260412080840,c:\CSUAP\data\test\IMG20260412080840.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.80\img10.png,2592,1944,3,30.774543671169774,0.9667419791221619,ok
0.8,IMG20260526135526,c:\CSUAP\data\test\IMG20260526135526.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.80\img11.png,2592,1944,3,30.724733019497506,0.9185249209403992,ok
0.8,IMG20260901061925,c:\CSUAP\data\test\IMG20260901061925.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.80\img12.png,2592,1944,3,30.822126287380662,0.9548177123069763,ok
